transaction_id,customer_id,product_id,dealer_id,area_id,transaction_date,quantity,unit_price,sales_amount
T000043,C0055,P008,D004,A001,2025-07-20,2,54000.0,108000.0
T000044,C1749,P009,D037,A012,2024-05-25,14,8075.0,113050.0
T000045,C0497,P012,D012,A003,2025-06-22,10,29450.0,294500.0
T000046,C1265,P013,D026,A006,2025-07-06,4,95000.0,380000.0
T000047,C0607,P003,D013,A004,2025-11-27,3,120000.0,360000.0
T000048,C1015,P015,D025,A005,2026-01-03,3,49000.0,147000.0
T000049,C1053,P004,D021,A005,2024-02-20,7,38000.0,266000.0
T000050,C0360,P015,D011,A002,2025-04-24,6,49000.0,294000.0
T000051,C1837,P005,D040,A013,2024-08-01,15,11875.0,178125.0
T000052,C1494,P007,D031,A009,2024-05-27,8,85000.0,680000.0
T000053,C1795,P003,D041,A013,2025-02-04,10,114000.0,1140000.0
T000054,C1726,P005,D036,A011,2026-07-03,7,12500.0,87500.0
T000055,C1132,P003,D020,A005,2025-03-30,3,120000.0,360000.0
T000056,C1775,P002,D037,A012,2025-06-20,2,6500.0,13000.0
T000057,C0159,P005,D007,A001,2024-05-07,9,12500.0,112500.0
T000058,C0379,P013,D010,A002,2026-06-15,5,95000.0,475000.0
T000059,C0073,P008,D004,A001,2025-08-22,3,54000.0,162000.0
T000060,C0636,P005,D014,A004,2025-06-19,2,12500.0,25000.0
T000061,C0745,P014,D015,A004,2024-09-04,14,26600.0,372400.0
T000062,C0525,P007,D012,A003,2025-10-15,2,85000.0,170000.0
T000063,C1595,P005,D035,A010,2025-03-05,11,11875.0,130625.0
T000064,C0687,P012,D016,A004,2024-09-05,10,29450.0,294500.0
T000065,C0543,P002,D012,A003,2025-07-28,10,6175.0,61750.0
T000066,C1047,P011,D022,A005,2024-02-13,10,39900.0,399000.0
T000067,C0269,P002,D005,A001,2024-04-07,2,6500.0,13000.0
T000068,C1549,P010,D033,A009,2026-04-14,7,22000.0,154000.0
T000069,C0126,P008,D007,A001,2025-04-16,10,51300.0,513000.0
T000070,C1876,P011,D041,A013,2025-11-16,15,39900.0,598500.0
T000071,C1488,P006,D030,A009,2024-10-26,15,17575.0,263625.0
T000072,C0383,P015,D010,A002,2025-01-02,14,46550.0,651700.0
T000073,C0009,P013,D001,A001,2024-11-28,8,95000.0,760000.0
T000074,C1576,P003,D031,A009,2025-07-25,13,114000.0,1482000.0
T000075,C1360,P006,D027,A007,2026-05-14,8,18500.0,148000.0
T000076,C1403,P013,D027,A007,2024-11-20,14,90250.0,1263500.0
T000077,C1486,P007,D032,A009,2025-09-28,8,85000.0,680000.0
T000078,C0126,P014,D006,A001,2025-05-12,6,28000.0,168000.0
T000079,C0691,P003,D014,A004,2024-11-26,1,120000.0,120000.0
T000080,C0214,P012,D006,A001,2025-07-27,5,31000.0,155000.0
T000081,C1667,P002,D034,A010,2024-04-05,2,6500.0,13000.0
T000082,C1187,P005,D020,A005,2026-01-03,6,12500.0,75000.0
T000083,C0642,P002,D018,A004,2026-04-14,15,6175.0,92625.0
T000084,C0112,P004,D004,A001,2026-04-25,1,38000.0,38000.0
T000085,C0603,P001,D016,A004,2024-08-17,14,42750.0,598500.0
T000086,C0635,P008,D018,A004,2026-04-11,4,54000.0,216000.0
T000087,C1405,P014,D028,A007,2026-05-08,8,28000.0,224000.0
T000088,C1214,P003,D025,A005,2025-06-15,10,114000.0,1140000.0
T000089,C1705,P007,D036,A011,2025-12-24,13,80750.0,1049750.0
T000090,C0923,P006,D014,A004,2024-11-23,9,18500.0,166500.0
T000091,C0221,P014,D007,A001,2025-12-20,4,28000.0,112000.0
T000092,C1373,P013,D028,A007,2025-07-02,6,95000.0,570000.0
T000093,C1468,P006,D029,A008,2025-04-21,5,18500.0,92500.0
T000094,C1074,P008,D023,A005,2025-03-22,2,54000.0,108000.0
T000095,C1486,P001,D032,A009,2025-05-03,14,42750.0,598500.0
T000096,C0965,P012,D015,A004,2025-08-06,5,31000.0,155000.0
T000097,C1017,P012,D025,A005,2026-08-23,3,31000.0,93000.0
T000098,C0827,P012,D018,A004,2024-11-07,6,31000.0,186000.0
T000099,C0042,P007,D002,A001,2026-02-23,9,85000.0,765000.0
T000100,C0205,P010,D001,A001,2025-12-30,13,20900.0,271700.0
T000101,C0051,P010,D001,A001,2025-06-26,7,22000.0,154000.0
T000102,C1214,P010,D025,A005,2026-02-16,3,22000.0,66000.0
T000103,C0614,P002,D015,A004,2024-04-01,2,6500.0,13000.0
T000104,C0997,P007,D022,A005,2025-12-14,8,85000.0,680000.0
T000105,C1742,P006,D037,A012,2025-12-25,7,18500.0,129500.0
T000106,C0482,P004,D012,A003,2024-12-25,11,36100.0,397100.0
T000107,C0789,P009,D015,A004,2024-01-21,15,8075.0,121125.0
T000108,C1458,P006,D029,A008,2024-06-21,1,18500.0,18500.0
T000109,C0443,P001,D010,A002,2026-05-29,2,45000.0,90000.0
T000110,C0137,P009,D002,A001,2024-12-19,2,8500.0,17000.0
T000111,C0559,P003,D016,A004,2025-12-24,14,114000.0,1596000.0
T000112,C0309,P001,D005,A001,2024-02-09,15,42750.0,641250.0
T000113,C1784,P013,D040,A013,2026-08-15,5,95000.0,475000.0
T000114,C1559,P003,D030,A009,2025-05-24,4,120000.0,480000.0
T000115,C1207,P008,D024,A005,2025-07-15,14,51300.0,718200.0
T000116,C1678,P002,D036,A011,2024-09-09,6,6500.0,39000.0
T000117,C1551,P007,D030,A009,2025-01-01,1,85000.0,85000.0
T000118,C0362,P014,D008,A002,2026-05-18,9,28000.0,252000.0
T000119,C1715,P010,D036,A011,2026-02-14,9,22000.0,198000.0
T000120,C1039,P013,D020,A005,2024-10-26,11,90250.0,992750.0
T000121,C1559,P001,D033,A009,2024-04-16,6,45000.0,270000.0
T000122,C1727,P013,D036,A011,2026-02-28,11,90250.0,992750.0
T000123,C0623,P002,D015,A004,2026-07-02,10,6175.0,61750.0
T000124,C0207,P006,D006,A001,2024-02-19,9,18500.0,166500.0
T000125,C0440,P006,D008,A002,2026-04-23,14,17575.0,246050.0
T000126,C0826,P014,D014,A004,2025-06-04,6,28000.0,168000.0
T000127,C1578,P008,D031,A009,2026-07-02,4,54000.0,216000.0
T000128,C1657,P004,D034,A010,2024-02-16,15,36100.0,541500.0
T000129,C0011,P005,D001,A001,2026-07-15,4,12500.0,50000.0
T000130,C0999,P003,D022,A005,2026-04-26,4,120000.0,480000.0
T000131,C0802,P003,D017,A004,2024-09-09,10,114000.0,1140000.0
T000132,C0426,P010,D010,A002,2024-07-28,15,20900.0,313500.0
T000133,C0223,P001,D004,A001,2026-04-23,7,45000.0,315000.0
T000134,C0651,P013,D016,A004,2024-09-16,10,90250.0,902500.0
T000135,C1802,P013,D041,A013,2024-05-11,11,90250.0,992750.0
T000136,C0629,P003,D016,A004,2024-03-09,3,120000.0,360000.0
T000137,C1010,P011,D024,A005,2026-08-10,12,39900.0,478800.0
T000138,C1348,P010,D028,A007,2024-04-21,13,20900.0,271700.0
T000139,C0699,P009,D016,A004,2024-07-24,3,8500.0,25500.0
T000140,C1841,P002,D039,A013,2024-02-08,14,6175.0,86450.0
T000141,C1829,P002,D039,A013,2025-03-22,10,6175.0,61750.0
T000142,C0490,P013,D012,A003,2025-11-09,15,90250.0,1353750.0
T000143,C0977,P012,D021,A005,2024-02-14,10,29450.0,294500.0
T000144,C0578,P005,D014,A004,2024-12-24,8,12500.0,100000.0
T000145,C0549,P003,D015,A004,2025-06-01,2,120000.0,240000.0
T000146,C0058,P012,D004,A001,2024-01-26,14,29450.0,412300.0
T000147,C1163,P005,D023,A005,2024-06-13,3,12500.0,37500.0
T000148,C0989,P002,D022,A005,2025-06-14,9,6500.0,58500.0
T000149,C0093,P006,D003,A001,2024-02-09,3,18500.0,55500.0
T000150,C0536,P010,D012,A003,2026-04-13,7,22000.0,154000.0
T000151,C1743,P001,D037,A012,2024-01-21,11,42750.0,470250.0
T000152,C0464,P011,D012,A003,2025-04-05,15,39900.0,598500.0
T000153,C0278,P006,D006,A001,2025-04-10,8,18500.0,148000.0
T000154,C0958,P003,D015,A004,2025-10-14,12,114000.0,1368000.0
T000155,C1874,P015,D039,A013,2025-01-11,12,46550.0,558600.0
T000156,C0467,P008,D012,A003,2025-12-28,15,51300.0,769500.0
T000157,C1290,P011,D026,A006,2024-08-01,7,42000.0,294000.0
T000158,C1472,P008,D029,A008,2025-04-19,6,54000.0,324000.0
T000159,C0458,P009,D009,A002,2024-09-08,4,8500.0,34000.0
T000160,C1403,P012,D028,A007,2026-07-10,8,31000.0,248000.0
T000161,C0708,P005,D014,A004,2025-02-06,3,12500.0,37500.0
T000162,C1206,P015,D025,A005,2026-03-04,14,46550.0,651700.0
T000163,C1207,P009,D020,A005,2025-11-06,7,8500.0,59500.0
T000164,C1032,P004,D022,A005,2025-08-04,11,36100.0,397100.0
T000165,C0161,P013,D002,A001,2025-10-18,7,95000.0,665000.0
T000166,C1607,P006,D035,A010,2024-09-08,14,17575.0,246050.0
T000167,C0626,P015,D017,A004,2025-06-27,12,46550.0,558600.0
T000168,C0362,P002,D008,A002,2024-01-22,1,6500.0,6500.0
T000169,C0067,P015,D003,A001,2024-07-26,12,46550.0,558600.0
T000170,C1123,P006,D023,A005,2026-07-20,6,18500.0,111000.0
T000171,C1300,P012,D026,A006,2024-10-23,5,31000.0,155000.0
T000172,C0026,P003,D002,A001,2025-03-01,2,120000.0,240000.0
T000173,C1001,P009,D024,A005,2025-04-25,12,8075.0,96900.0
T000174,C0437,P002,D009,A002,2026-07-20,8,6500.0,52000.0
T000175,C1230,P008,D022,A005,2025-05-03,3,54000.0,162000.0
T000176,C0341,P008,D009,A002,2025-04-03,15,51300.0,769500.0
T000177,C1322,P015,D028,A007,2024-03-28,15,46550.0,698250.0
T000178,C0742,P011,D016,A004,2026-07-27,3,42000.0,126000.0
T000179,C1794,P004,D040,A013,2024-10-26,12,36100.0,433200.0
T000180,C0265,P015,D005,A001,2025-03-03,3,49000.0,147000.0
T000181,C0660,P009,D013,A004,2025-05-16,6,8500.0,51000.0
T000182,C0211,P005,D004,A001,2025-03-19,6,12500.0,75000.0
T000183,C1777,P011,D038,A013,2024-12-06,9,42000.0,378000.0
T000184,C1685,P010,D036,A011,2024-11-05,7,22000.0,154000.0
T000185,C0497,P012,D012,A003,2025-12-14,7,31000.0,217000.0
T000186,C1257,P013,D026,A006,2025-02-20,12,90250.0,1083000.0
T000187,C1577,P009,D031,A009,2025-05-15,5,8500.0,42500.0
T000188,C1062,P002,D025,A005,2025-11-13,15,6175.0,92625.0
T000189,C1026,P013,D020,A005,2026-04-05,13,90250.0,1173250.0
T000190,C0467,P003,D012,A003,2026-03-08,2,120000.0,240000.0
T000191,C0167,P006,D007,A001,2026-07-19,10,17575.0,175750.0
T000192,C1727,P008,D036,A011,2026-03-15,11,51300.0,564300.0
T000193,C1733,P004,D037,A012,2024-07-09,2,38000.0,76000.0
T000194,C1207,P011,D020,A005,2024-08-03,1,42000.0,42000.0
T000195,C0652,P004,D016,A004,2026-04-17,4,38000.0,152000.0
T000196,C0671,P008,D015,A004,2026-01-19,11,51300.0,564300.0
T000197,C1395,P009,D027,A007,2024-03-22,3,8500.0,25500.0
T000198,C1727,P004,D036,A011,2025-12-20,13,36100.0,469300.0
T000199,C1702,P004,D036,A011,2025-02-08,11,36100.0,397100.0
T000200,C1503,P005,D031,A009,2025-03-12,5,12500.0,62500.0
T000201,C1224,P015,D024,A005,2024-09-14,5,49000.0,245000.0
T000202,C0152,P015,D006,A001,2024-03-02,10,46550.0,465500.0
T000203,C0309,P008,D001,A001,2026-02-01,11,51300.0,564300.0
T000204,C1731,P006,D037,A012,2025-08-05,5,18500.0,92500.0
T000205,C1154,P013,D022,A005,2025-01-14,8,95000.0,760000.0
T000206,C0013,P012,D002,A001,2024-08-21,10,29450.0,294500.0
T000207,C0190,P015,D004,A001,2024-11-28,15,46550.0,698250.0
T000208,C1265,P003,D026,A006,2026-01-25,13,114000.0,1482000.0
T000209,C0007,P013,D003,A001,2025-01-25,14,90250.0,1263500.0
T000210,C0309,P013,D007,A001,2025-11-08,15,90250.0,1353750.0
T000211,C1055,P001,D022,A005,2025-04-28,3,45000.0,135000.0
T000212,C1323,P003,D028,A007,2026-04-29,14,114000.0,1596000.0
T000213,C1243,P012,D022,A005,2025-03-19,7,31000.0,217000.0
T000214,C0431,P002,D008,A002,2024-11-27,12,6175.0,74100.0
T000215,C1373,P008,D027,A007,2025-03-02,8,54000.0,432000.0
T000216,C0457,P011,D010,A002,2025-12-01,10,39900.0,399000.0
T000217,C0636,P005,D015,A004,2026-01-12,6,12500.0,75000.0
T000218,C1438,P008,D029,A008,2024-01-19,8,54000.0,432000.0
T000219,C1240,P012,D020,A005,2026-07-20,14,29450.0,412300.0
T000220,C1635,P013,D035,A010,2025-07-22,6,95000.0,570000.0
T000221,C1254,P003,D026,A006,2026-03-11,11,114000.0,1254000.0
T000222,C1090,P010,D020,A005,2026-04-12,14,20900.0,292600.0
T000223,C0170,P006,D005,A001,2026-06-20,2,18500.0,37000.0
T000224,C0707,P009,D016,A004,2025-04-18,10,8075.0,80750.0
T000225,C0515,P004,D012,A003,2025-12-29,3,38000.0,114000.0
T000226,C0472,P004,D012,A003,2024-12-01,6,38000.0,228000.0
T000227,C1844,P006,D041,A013,2024-11-17,10,17575.0,175750.0
T000228,C0749,P015,D017,A004,2025-09-11,2,49000.0,98000.0
T000229,C1714,P009,D036,A011,2024-09-11,13,8075.0,104975.0
T000230,C1206,P004,D020,A005,2024-10-30,1,38000.0,38000.0
T000231,C1531,P006,D033,A009,2026-03-05,15,17575.0,263625.0
T000232,C0989,P010,D022,A005,2026-02-15,6,22000.0,132000.0
T000233,C1100,P012,D023,A005,2025-04-09,5,31000.0,155000.0
T000234,C0964,P002,D013,A004,2026-06-07,6,6500.0,39000.0
T000235,C0376,P012,D011,A002,2025-07-17,1,31000.0,31000.0
T000236,C1390,P006,D027,A007,2025-10-21,5,18500.0,92500.0
T000237,C0543,P009,D012,A003,2026-01-10,12,8075.0,96900.0
T000238,C0041,P003,D002,A001,2024-04-14,9,120000.0,1080000.0
T000239,C1231,P006,D021,A005,2024-12-12,2,18500.0,37000.0
T000240,C0345,P009,D008,A002,2025-06-21,7,8500.0,59500.0
T000241,C1799,P014,D038,A013,2026-04-13,4,28000.0,112000.0
T000242,C1817,P005,D039,A013,2024-09-02,1,12500.0,12500.0
T000243,C1755,P014,D037,A012,2025-05-05,1,28000.0,28000.0
T000244,C0713,P014,D014,A004,2025-05-27,6,28000.0,168000.0
T000245,C0026,P001,D005,A001,2026-02-22,5,45000.0,225000.0
T000246,C1783,P009,D038,A013,2024-02-11,4,8500.0,34000.0
T000247,C0828,P001,D015,A004,2025-12-19,2,45000.0,90000.0
T000248,C1834,P003,D041,A013,2024-08-05,3,120000.0,360000.0
T000249,C1830,P005,D040,A013,2025-07-23,6,12500.0,75000.0
T000250,C1638,P005,D035,A010,2024-07-19,6,12500.0,75000.0
T000251,C0569,P001,D016,A004,2025-09-09,11,42750.0,470250.0
T000252,C0735,P002,D013,A004,2025-01-31,13,6175.0,80275.0
T000253,C1637,P013,D035,A010,2026-05-02,12,90250.0,1083000.0
T000254,C0623,P006,D016,A004,2024-02-25,11,17575.0,193325.0
T000255,C0324,P005,D009,A002,2025-06-07,1,12500.0,12500.0
T000256,C1065,P004,D022,A005,2026-08-27,12,36100.0,433200.0
T000257,C1791,P010,D039,A013,2026-07-31,8,22000.0,176000.0
T000258,C1333,P011,D027,A007,2024-03-20,10,39900.0,399000.0
T000259,C1091,P014,D019,A005,2026-08-27,5,28000.0,140000.0
T000260,C0181,P003,D001,A001,2024-02-24,6,120000.0,720000.0
T000261,C1176,P006,D019,A005,2024-10-13,7,18500.0,129500.0
T000262,C1882,P002,D040,A013,2024-05-25,5,6500.0,32500.0
T000263,C0268,P011,D006,A001,2025-11-29,13,39900.0,518700.0
T000264,C1009,P001,D019,A005,2024-03-29,12,42750.0,513000.0
T000265,C1685,P009,D036,A011,2024-10-03,1,8500.0,8500.0
T000266,C1423,P003,D029,A008,2024-03-07,7,120000.0,840000.0
T000267,C1334,P014,D028,A007,2025-02-26,3,28000.0,84000.0
T000268,C1348,P013,D028,A007,2025-12-27,5,95000.0,475000.0
T000269,C0692,P005,D014,A004,2024-08-28,12,11875.0,142500.0
T000270,C0569,P010,D016,A004,2025-07-26,12,20900.0,250800.0
T000271,C1563,P001,D032,A009,2025-01-07,2,45000.0,90000.0
T000272,C1564,P006,D032,A009,2026-01-13,9,18500.0,166500.0
T000273,C1671,P007,D036,A011,2025-08-17,7,85000.0,595000.0
T000274,C1754,P003,D037,A012,2025-11-22,9,120000.0,1080000.0
T000275,C1000,P005,D020,A005,2024-12-06,15,11875.0,178125.0
T000276,C0989,P014,D024,A005,2024-06-17,15,26600.0,399000.0
T000277,C1538,P011,D031,A009,2025-09-05,6,42000.0,252000.0
T000278,C1242,P013,D023,A005,2024-05-22,14,90250.0,1263500.0
T000279,C1345,P007,D027,A007,2025-05-28,9,85000.0,765000.0
T000280,C1535,P015,D031,A009,2026-01-27,4,49000.0,196000.0
T000281,C1708,P006,D036,A011,2025-07-15,15,17575.0,263625.0
T000282,C0651,P006,D018,A004,2025-02-21,12,17575.0,210900.0
T000283,C0721,P014,D018,A004,2026-07-05,13,26600.0,345800.0
T000284,C0171,P009,D007,A001,2024-04-20,8,8500.0,68000.0
T000285,C1100,P004,D025,A005,2025-02-19,5,38000.0,190000.0
T000286,C0057,P004,D001,A001,2024-01-17,1,38000.0,38000.0
T000287,C0912,P011,D013,A004,2024-03-09,5,42000.0,210000.0
T000288,C1047,P011,D022,A005,2024-01-11,12,39900.0,478800.0
T000289,C0552,P005,D016,A004,2025-09-26,10,11875.0,118750.0
T000290,C1123,P008,D019,A005,2025-05-26,6,54000.0,324000.0
T000291,C0050,P013,D004,A001,2026-02-09,9,95000.0,855000.0
T000292,C0058,P006,D006,A001,2025-05-17,1,18500.0,18500.0
T000293,C1587,P002,D033,A009,2024-09-15,9,6500.0,58500.0
T000294,C0693,P011,D013,A004,2025-04-10,7,42000.0,294000.0
T000295,C0245,P001,D003,A001,2024-11-13,9,45000.0,405000.0
T000296,C1017,P002,D019,A005,2025-12-01,3,6500.0,19500.0
T000297,C1483,P009,D033,A009,2024-03-11,9,8500.0,76500.0
T000298,C0415,P013,D008,A002,2024-09-16,10,90250.0,902500.0
T000299,C1184,P008,D021,A005,2026-05-24,3,54000.0,162000.0
T000300,C0152,P011,D002,A001,2026-05-07,2,42000.0,84000.0
T000301,C0093,P013,D006,A001,2026-04-06,11,90250.0,992750.0
T000302,C1027,P004,D021,A005,2026-06-05,11,36100.0,397100.0
T000303,C1041,P013,D024,A005,2026-08-28,15,90250.0,1353750.0
T000304,C1214,P010,D023,A005,2024-01-25,8,22000.0,176000.0
T000305,C1395,P012,D028,A007,2025-10-12,9,31000.0,279000.0
T000306,C1851,P009,D041,A013,2024-03-09,2,8500.0,17000.0
T000307,C1005,P007,D023,A005,2026-07-30,4,85000.0,340000.0
T000308,C0629,P003,D018,A004,2024-07-20,8,120000.0,960000.0
T000309,C1533,P008,D030,A009,2026-03-19,11,51300.0,564300.0
T000310,C0523,P004,D012,A003,2024-05-30,5,38000.0,190000.0
T000311,C0849,P001,D017,A004,2026-03-18,1,45000.0,45000.0
T000312,C0144,P001,D003,A001,2026-06-20,13,42750.0,555750.0
T000313,C0042,P013,D002,A001,2024-07-12,11,90250.0,992750.0
T000314,C1829,P007,D038,A013,2024-05-29,11,80750.0,888250.0
T000315,C1607,P002,D035,A010,2025-06-09,2,6500.0,13000.0
T000316,C1333,P014,D028,A007,2026-08-18,4,28000.0,112000.0
T000317,C0782,P014,D015,A004,2026-03-10,7,28000.0,196000.0
T000318,C0339,P007,D011,A002,2025-09-12,14,80750.0,1130500.0
T000319,C0298,P013,D005,A001,2026-06-29,7,95000.0,665000.0
T000320,C0485,P010,D012,A003,2025-05-24,13,20900.0,271700.0
T000321,C1055,P009,D019,A005,2025-12-22,15,8075.0,121125.0
T000322,C1374,P007,D028,A007,2025-04-20,11,80750.0,888250.0
T000323,C1259,P015,D026,A006,2026-05-25,8,49000.0,392000.0
T000324,C0543,P012,D012,A003,2025-04-25,6,31000.0,186000.0
T000325,C1818,P010,D038,A013,2024-09-14,11,20900.0,229900.0
T000326,C1421,P004,D029,A008,2026-08-07,15,36100.0,541500.0
T000327,C1062,P005,D020,A005,2026-04-25,6,12500.0,75000.0
T000328,C1166,P007,D024,A005,2025-11-05,4,85000.0,340000.0
T000329,C0805,P012,D015,A004,2024-07-13,11,29450.0,323950.0
T000330,C0479,P004,D012,A003,2025-08-18,9,38000.0,342000.0
T000331,C0684,P011,D014,A004,2024-07-29,10,39900.0,399000.0
T000332,C1463,P013,D029,A008,2025-01-18,4,95000.0,380000.0
T000333,C0024,P008,D005,A001,2024-12-15,3,54000.0,162000.0
T000334,C0215,P007,D007,A001,2025-07-17,7,85000.0,595000.0
T000335,C0075,P015,D004,A001,2025-04-10,15,46550.0,698250.0
T000336,C0066,P007,D002,A001,2024-09-29,1,85000.0,85000.0
T000337,C1646,P008,D035,A010,2025-01-31,6,54000.0,324000.0
T000338,C1349,P013,D027,A007,2024-02-12,14,90250.0,1263500.0
T000339,C0926,P003,D013,A004,2026-08-05,12,114000.0,1368000.0
T000340,C0181,P010,D001,A001,2024-01-11,2,22000.0,44000.0
T000341,C0964,P007,D014,A004,2024-08-24,4,85000.0,340000.0
T000342,C0926,P009,D015,A004,2026-05-10,4,8500.0,34000.0
T000343,C0339,P004,D009,A002,2026-04-05,14,36100.0,505400.0
T000344,C0839,P003,D013,A004,2025-08-07,12,114000.0,1368000.0
T000345,C0762,P002,D013,A004,2024-09-09,14,6175.0,86450.0
T000346,C1176,P015,D020,A005,2026-07-28,4,49000.0,196000.0
T000347,C1213,P007,D023,A005,2026-05-31,10,80750.0,807500.0
T000348,C0073,P002,D004,A001,2025-12-30,8,6500.0,52000.0
T000349,C0719,P010,D016,A004,2024-01-24,9,22000.0,198000.0
T000350,C1188,P013,D023,A005,2024-12-16,6,95000.0,570000.0
T000351,C0989,P008,D023,A005,2024-07-29,6,54000.0,324000.0
T000352,C1648,P011,D035,A010,2024-06-21,13,39900.0,518700.0
T000353,C1254,P005,D026,A006,2026-01-02,5,12500.0,62500.0
T000354,C0311,P001,D009,A002,2025-10-22,12,42750.0,513000.0
T000355,C0123,P006,D003,A001,2025-01-25,1,18500.0,18500.0
T000356,C1225,P002,D022,A005,2024-09-18,6,6500.0,39000.0
T000357,C0046,P008,D002,A001,2024-06-21,4,54000.0,216000.0
T000358,C1116,P004,D025,A005,2024-02-07,7,38000.0,266000.0
T000359,C1799,P015,D039,A013,2024-04-04,10,46550.0,465500.0
T000360,C1098,P015,D021,A005,2025-04-08,3,49000.0,147000.0
T000361,C0744,P015,D014,A004,2024-08-22,7,49000.0,343000.0
T000362,C1227,P002,D023,A005,2024-02-23,10,6175.0,61750.0
T000363,C0891,P012,D014,A004,2024-10-22,9,31000.0,279000.0
T000364,C1052,P001,D025,A005,2024-07-19,10,42750.0,427500.0
T000365,C1801,P014,D039,A013,2025-06-30,2,28000.0,56000.0
T000366,C0737,P003,D017,A004,2026-08-12,3,120000.0,360000.0
T000367,C1829,P013,D040,A013,2025-06-09,14,90250.0,1263500.0
T000368,C1738,P003,D037,A012,2025-04-25,3,120000.0,360000.0
T000369,C0377,P010,D010,A002,2025-04-18,4,22000.0,88000.0
T000370,C0122,P003,D006,A001,2025-09-12,13,114000.0,1482000.0
T000371,C0187,P005,D004,A001,2025-06-25,13,11875.0,154375.0
T000372,C0029,P012,D004,A001,2026-06-29,9,31000.0,279000.0
T000373,C0171,P010,D005,A001,2026-01-05,14,20900.0,292600.0
T000374,C1308,P007,D026,A006,2025-05-30,14,80750.0,1130500.0
T000375,C0124,P010,D003,A001,2026-05-12,5,22000.0,110000.0
T000376,C0624,P005,D015,A004,2024-01-25,6,12500.0,75000.0
T000377,C1627,P013,D034,A010,2025-04-05,14,90250.0,1263500.0
T000378,C0041,P013,D003,A001,2025-02-09,4,95000.0,380000.0
T000379,C1573,P005,D033,A009,2025-02-12,8,12500.0,100000.0
T000380,C0545,P007,D012,A003,2024-09-08,3,85000.0,255000.0
T000381,C0216,P006,D004,A001,2026-07-20,7,18500.0,129500.0
T000382,C1334,P006,D028,A007,2024-02-11,15,17575.0,263625.0
T000383,C1203,P015,D023,A005,2024-06-18,1,49000.0,49000.0
T000384,C1685,P001,D036,A011,2025-06-05,4,45000.0,180000.0
T000385,C1415,P006,D028,A007,2024-12-21,10,17575.0,175750.0
